node,labels
46,8.29
1,8.122
43,7.798
73,7.012
98,6.992
93,6.97
21,6.694
32,6.398
19,6.398
16,6.146
26,6.134
62,6.1
92,5.994
56,5.878
97,5.87
3,5.788
84,5.788
78,5.71
41,5.65
63,5.64
95,5.584
59,5.58
0,5.54
22,5.514
70,5.432
75,5.388
66,5.378
74,5.366
80,5.358
47,5.336
24,5.334
12,5.26
88,5.252
52,5.248
49,5.214
4,5.16
60,5.096
53,5.086
33,5.072
65,5.06
86,4.81
36,4.802
82,4.76
99,4.732
11,4.696
39,4.628
90,4.62
51,4.598
31,4.58
34,4.568
25,4.504
37,4.502
71,4.5
91,4.488
79,4.462
83,4.452
94,4.442
48,4.32
40,4.318
10,4.29
17,4.242
13,4.222
61,4.218
28,4.202
42,4.19
35,4.104
68,4.096
69,4.032
50,4.01
6,4.002
44,3.942
29,3.932
77,3.918
5,3.888
55,3.85
85,3.786
89,3.778
54,3.744
30,3.744
76,3.742
8,3.72
7,3.698
87,3.686
58,3.57
20,3.55
27,3.534
14,3.514
72,3.484
57,3.432
38,3.424
45,3.37
15,3.348
2,3.338
96,3.27
9,3.234
67,3.168
23,3.034
81,2.874
64,2.664
18,2.616
