node,labels
52,8.79
11,7.718
14,7.61
27,7.606
56,7.432
78,7.282
75,7.082
6,6.752
87,6.75
35,6.63
90,6.574
61,6.426
3,6.302
2,6.2
1,6.174
65,6.126
17,5.932
72,5.804
70,5.802
92,5.708
49,5.706
76,5.642
24,5.564
83,5.47
55,5.422
39,5.384
4,5.372
50,5.36
59,5.224
57,5.196
29,5.098
20,5.084
73,5.02
69,4.974
18,4.97
51,4.924
7,4.844
10,4.806
84,4.798
67,4.77
81,4.736
58,4.726
47,4.702
34,4.662
30,4.632
48,4.626
33,4.584
63,4.584
21,4.49
23,4.466
0,4.45
28,4.38
54,4.338
32,4.338
9,4.316
40,4.31
53,4.242
43,4.234
5,4.232
89,4.196
41,4.18
19,4.166
60,4.142
77,4.096
8,4.074
12,4.058
79,4.026
37,4.018
88,3.986
36,3.97
31,3.912
13,3.884
64,3.784
95,3.738
26,3.726
66,3.694
68,3.692
96,3.664
42,3.646
15,3.618
93,3.566
85,3.546
94,3.524
74,3.474
25,3.472
62,3.422
46,3.396
91,3.396
45,3.268
82,3.208
97,3.206
86,3.068
44,2.826
71,2.714
99,2.57
98,2.384
38,2.292
22,2.062
80,1.866
16,1.716
