node,labels
23,17.082
1,16.212
98,15.536
49,14.014
86,13.95
96,13.536
56,13.434
81,11.456
70,11.348
0,10.85
80,10.548
5,10.266
74,9.416
89,9.262
94,9.182
24,9.164
48,9.046
26,8.956
34,8.0
7,7.66
97,7.656
2,7.624
38,7.266
15,7.182
78,7.166
20,7.164
67,7.004
76,6.878
64,6.8
63,6.772
75,6.622
79,6.582
18,6.362
51,6.29
68,5.788
44,5.718
25,5.688
65,5.682
83,5.662
36,5.65
22,5.578
59,5.534
62,5.526
91,5.328
39,5.248
93,5.152
82,5.06
19,4.932
35,4.848
72,4.738
53,4.458
52,4.392
41,4.376
37,4.308
55,4.122
21,4.064
27,4.056
42,3.958
77,3.948
92,3.928
47,3.648
84,3.648
73,3.55
33,3.324
43,3.18
6,3.162
90,3.124
88,3.022
45,2.986
4,2.98
3,2.57
69,2.44
9,2.384
30,2.36
57,2.36
95,2.358
60,2.324
8,1.796
99,1.792
58,1.788
40,1.786
66,1.776
85,1.774
14,1.766
