node,labels
1,12.478
39,12.188
2,11.726
13,11.148
20,11.054
9,10.758
22,10.35
11,10.246
0,10.022
8,9.716
29,9.67
24,9.662
7,9.644
21,9.338
4,9.124
6,9.098
27,9.098
18,8.99
5,8.986
23,8.96
30,8.894
69,8.818
50,8.796
19,8.746
56,8.586
61,8.542
26,8.356
12,8.316
99,8.058
28,8.052
40,8.02
37,8.006
10,7.876
25,7.866
15,7.696
14,7.63
3,7.484
80,7.422
59,7.346
58,7.312
67,7.202
38,7.148
34,6.946
43,6.868
70,6.862
48,6.794
89,6.764
68,6.758
44,6.726
42,6.664
57,6.628
49,6.626
75,6.586
47,6.582
54,6.57
60,6.56
32,6.538
46,6.522
63,6.462
62,6.422
45,6.39
65,6.334
55,6.32
17,6.148
33,6.146
41,6.102
87,6.098
64,6.028
16,5.978
53,5.924
51,5.904
66,5.84
52,5.386
78,5.302
94,5.192
73,5.188
98,5.086
79,5.0
74,4.932
77,4.91
76,4.894
91,4.796
90,4.792
81,4.782
35,4.618
71,4.496
36,4.42
97,4.368
92,4.33
86,4.298
72,4.148
31,4.086
88,4.068
93,3.986
83,3.36
95,3.342
85,3.3
84,3.294
82,3.18
96,2.66
