node,labels
14,12.99
13,12.428
12,11.876
11,11.694
2,11.306
0,11.014
15,10.92
16,10.89
19,10.608
4,10.396
21,10.34
5,10.236
10,10.222
3,10.166
8,9.974
55,9.778
25,9.716
1,9.518
20,9.488
61,9.424
9,9.422
17,9.394
18,9.356
24,9.298
7,9.296
99,9.188
6,9.122
23,9.102
98,8.758
27,8.752
26,8.748
64,8.674
40,8.576
60,8.52
66,8.484
58,8.44
22,8.412
65,8.38
57,8.088
53,8.066
77,7.958
63,7.886
83,7.656
75,7.62
62,7.094
39,6.974
29,6.926
69,6.89
67,6.838
56,6.71
41,6.592
31,6.552
38,6.482
30,6.47
51,6.416
28,6.39
59,6.372
54,6.284
43,6.282
32,6.26
50,6.254
68,6.218
34,6.178
35,6.098
33,6.092
85,6.004
73,5.908
37,5.632
36,5.552
42,5.494
90,5.492
81,5.386
74,5.284
79,5.122
92,5.072
94,5.024
45,4.98
49,4.882
82,4.792
70,4.752
97,4.704
71,4.62
86,4.594
87,4.578
78,4.542
44,4.522
88,4.502
89,4.342
52,4.294
84,4.294
80,4.23
72,4.16
93,4.104
48,3.992
46,3.936
96,3.932
95,3.65
76,3.58
47,3.328
91,3.208
