node,labels
1,10.002
11,8.766
5,7.864
12,7.168
68,6.838
28,6.6
13,6.58
44,6.436
15,6.352
9,6.164
69,6.124
81,6.06
27,6.006
24,5.82
6,5.746
93,5.704
16,5.61
47,5.6
22,5.598
3,5.548
31,5.518
92,5.484
88,5.45
65,5.442
46,5.36
17,5.346
49,5.296
0,5.128
4,5.1
76,5.086
98,5.08
35,5.028
99,4.964
67,4.946
77,4.854
41,4.8
55,4.716
10,4.71
26,4.698
37,4.68
32,4.678
75,4.622
61,4.584
50,4.536
74,4.51
51,4.446
83,4.422
45,4.42
53,4.39
21,4.362
63,4.326
90,4.288
42,4.268
85,4.256
39,4.236
95,4.228
18,4.218
33,4.19
60,4.152
20,4.134
19,4.116
36,4.094
59,4.064
94,4.014
40,4.002
25,3.996
84,3.996
29,3.996
34,3.942
38,3.92
96,3.896
7,3.87
87,3.856
86,3.844
97,3.82
79,3.784
8,3.77
62,3.724
2,3.702
66,3.668
14,3.614
71,3.558
78,3.546
73,3.512
80,3.492
82,3.396
52,3.394
54,3.356
91,3.318
48,3.272
56,3.272
43,3.128
23,3.096
64,3.072
70,2.98
89,2.774
58,2.334
72,2.158
30,2.096
57,1.162
