node,labels
2,9.292
7,8.838
38,8.762
0,8.756
3,8.632
6,8.336
13,8.26
99,8.172
1,8.116
8,8.104
9,7.994
10,7.916
85,7.734
4,7.58
97,7.104
66,7.05
39,6.906
98,6.766
14,6.71
37,6.656
36,6.436
24,6.388
5,6.364
88,6.316
90,6.266
11,6.258
29,6.226
79,6.188
28,6.134
26,6.058
40,6.012
19,5.962
64,5.944
61,5.906
86,5.854
23,5.852
49,5.796
96,5.784
16,5.772
87,5.744
63,5.67
15,5.644
83,5.638
60,5.594
27,5.568
33,5.556
30,5.534
12,5.51
17,5.448
41,5.446
25,5.418
35,5.382
32,5.378
69,5.324
67,5.274
84,5.24
34,5.234
42,5.188
77,5.164
57,5.142
21,5.116
62,5.108
68,5.104
20,5.076
65,5.048
54,5.046
82,5.024
45,4.964
59,4.964
22,4.926
43,4.838
44,4.714
18,4.648
71,4.54
51,4.454
70,4.398
95,4.358
73,4.332
80,4.328
75,4.316
74,4.294
55,4.236
89,4.182
46,4.142
56,4.098
48,4.082
81,4.054
31,4.05
76,4.05
53,4.042
50,3.978
47,3.974
58,3.948
91,3.946
78,3.878
52,3.866
72,3.63
94,3.604
92,3.528
93,3.044
