node,labels
5,8.566
24,8.356
33,8.176
35,8.152
4,8.116
34,8.05
3,7.95
0,7.888
22,7.816
1,7.8
2,7.676
7,7.666
20,7.55
99,7.46
26,7.452
36,7.364
21,7.34
39,6.962
32,6.914
27,6.848
6,6.75
8,6.712
30,6.704
31,6.686
66,6.668
10,6.644
37,6.622
38,6.602
23,6.526
28,6.436
13,6.366
29,6.312
15,6.204
68,6.182
25,6.158
50,6.136
19,6.132
64,6.122
46,6.1
69,6.096
14,6.094
45,6.084
65,6.048
98,6.046
17,5.968
70,5.954
11,5.94
9,5.924
49,5.916
48,5.812
78,5.734
51,5.716
16,5.708
43,5.678
47,5.674
40,5.588
67,5.586
42,5.56
18,5.552
44,5.512
52,5.512
54,5.436
55,5.38
53,5.32
97,5.266
12,5.262
71,5.172
92,5.168
41,5.164
84,5.144
75,5.114
63,5.06
72,5.012
73,4.99
56,4.956
76,4.872
58,4.802
77,4.65
95,4.626
86,4.59
74,4.582
96,4.546
57,4.384
90,4.344
87,4.334
80,4.282
61,4.17
79,4.146
62,4.104
89,4.01
82,3.972
59,3.858
91,3.826
88,3.81
81,3.726
83,3.706
94,3.68
60,3.534
93,3.41
85,3.194
