id,node1,node2
0,0,24
1,0,30
2,0,33
3,0,44
4,1,10
5,1,12
6,1,17
7,1,21
8,1,24
9,1,30
10,2,7
11,2,27
12,2,33
13,2,43
14,3,30
15,4,12
16,4,18
17,4,21
18,4,34
19,4,42
20,4,44
21,5,24
22,5,30
23,6,14
24,6,34
25,6,39
26,7,18
27,7,29
28,7,40
29,7,42
30,8,15
31,8,25
32,8,29
33,8,34
34,8,35
35,8,41
36,8,47
37,9,37
38,9,43
39,9,45
40,10,32
41,10,35
42,11,14
43,11,16
44,11,39
45,11,46
46,11,49
47,12,28
48,12,39
49,12,41
50,12,47
51,13,17
52,13,32
53,14,17
54,14,19
55,14,26
56,14,48
57,15,44
58,15,49
59,16,22
60,16,30
61,16,32
62,16,41
63,17,37
64,17,38
65,17,45
66,19,23
67,19,24
68,19,32
69,20,25
70,20,30
71,21,22
72,21,23
73,21,38
74,22,25
75,22,26
76,22,41
77,23,41
78,24,32
79,24,41
80,24,47
81,25,44
82,26,30
83,28,32
84,28,48
85,29,30
86,31,34
87,31,43
88,31,45
89,32,35
90,33,47
91,34,46
92,35,42
93,36,42
94,38,41
95,40,43
96,40,45
97,42,43
98,45,49
99,46,48
