node,labels
43,8.256
44,8.244
0,8.17
2,7.416
18,7.296
4,7.13
23,6.998
72,6.85
3,6.728
52,6.514
84,6.408
61,6.272
20,6.26
38,6.244
78,6.19
94,6.082
21,5.826
12,5.802
8,5.796
70,5.758
33,5.638
17,5.584
10,5.578
47,5.492
99,5.406
73,5.402
58,5.378
31,5.364
24,5.318
45,5.296
69,5.27
32,5.256
87,5.256
57,5.242
79,5.224
1,5.148
66,5.142
83,5.132
19,5.114
93,5.066
50,5.0
48,4.944
28,4.884
29,4.856
71,4.818
53,4.808
34,4.79
22,4.764
67,4.722
27,4.638
9,4.56
74,4.484
56,4.478
60,4.47
68,4.32
96,4.31
49,4.252
91,4.224
54,4.178
41,4.152
55,4.144
11,4.13
90,4.076
59,4.032
75,4.028
95,4.02
39,4.014
62,3.982
16,3.964
26,3.764
92,3.742
85,3.712
81,3.676
76,3.67
51,3.638
15,3.634
86,3.598
42,3.594
89,3.532
14,3.514
98,3.512
25,3.5
5,3.49
80,3.482
88,3.446
40,3.412
97,3.412
65,3.362
63,3.314
37,3.308
30,3.104
6,3.102
64,3.064
35,2.954
77,2.798
46,2.698
7,2.53
36,2.43
82,2.328
13,1.88
