node,labels
0,7.998
74,7.654
20,7.414
6,7.37
17,6.968
57,6.958
39,6.924
75,6.614
23,6.498
99,6.452
54,6.258
76,6.044
8,5.956
3,5.888
96,5.866
80,5.826
87,5.708
47,5.562
44,5.438
90,5.386
16,5.36
36,5.34
15,5.276
88,5.272
84,5.262
77,5.212
73,5.202
83,5.194
34,5.188
31,5.182
19,5.174
64,5.132
62,5.088
41,5.074
58,5.058
61,5.018
12,4.994
9,4.972
78,4.966
5,4.9
14,4.87
48,4.822
35,4.816
93,4.772
92,4.762
79,4.756
21,4.736
63,4.574
97,4.514
40,4.452
10,4.428
32,4.394
38,4.378
51,4.368
25,4.35
71,4.35
81,4.334
69,4.326
7,4.322
89,4.282
1,4.258
53,4.146
33,4.144
59,4.124
68,4.104
52,4.094
37,4.086
46,4.07
29,4.058
56,4.028
45,3.988
72,3.964
55,3.864
70,3.854
2,3.838
85,3.816
4,3.804
66,3.804
43,3.74
13,3.696
42,3.676
98,3.64
18,3.63
11,3.614
82,3.596
22,3.562
91,3.516
95,3.356
28,3.352
24,3.33
86,3.212
65,3.206
26,3.166
49,3.08
94,3.022
50,2.986
30,2.614
27,2.568
60,2.086
67,1.442
