id,node1,node2
0,0,1
1,0,49
2,0,2
3,0,48
4,0,47
5,0,4
6,0,46
7,0,5
8,0,45
9,0,6
10,0,44
11,0,7
12,0,43
13,0,8
14,0,42
15,0,20
16,0,32
17,0,13
18,1,2
19,1,3
20,1,49
21,1,4
22,1,48
23,1,47
24,1,6
25,1,46
26,1,7
27,1,45
28,1,8
29,1,44
30,1,9
31,1,43
32,1,10
33,2,3
34,2,4
35,2,5
36,2,49
37,2,6
38,2,48
39,2,7
40,2,47
41,2,8
42,2,46
43,2,9
44,2,10
45,2,44
46,2,25
47,2,12
48,2,31
49,3,4
50,3,6
51,3,7
52,3,49
53,3,8
54,3,48
55,3,9
56,3,47
57,3,10
58,3,46
59,3,11
60,3,45
61,3,38
62,3,35
63,4,5
64,4,6
65,4,8
66,4,9
67,4,49
68,4,10
69,4,48
70,4,11
71,4,47
72,4,12
73,4,46
74,4,17
75,4,45
76,5,6
77,5,7
78,5,8
79,5,9
80,5,10
81,5,11
82,5,49
83,5,12
84,5,48
85,5,13
86,5,47
87,5,44
88,5,38
89,6,7
90,6,8
91,6,9
92,6,10
93,6,11
94,6,12
95,6,13
96,6,49
97,6,14
98,6,48
99,7,8
100,7,9
101,7,10
102,7,11
103,7,12
104,7,13
105,7,14
106,7,15
107,7,49
108,7,42
109,7,21
110,7,24
111,8,9
112,8,10
113,8,12
114,8,14
115,8,15
116,8,16
117,8,24
118,8,29
119,8,13
120,9,10
121,9,11
122,9,12
123,9,13
124,9,14
125,9,16
126,9,17
127,9,45
128,10,11
129,10,12
130,10,13
131,10,14
132,10,15
133,10,16
134,10,17
135,10,48
136,10,47
137,11,12
138,11,13
139,11,14
140,11,15
141,11,16
142,11,17
143,11,18
144,11,44
145,12,13
146,12,14
147,12,16
148,12,17
149,12,18
150,12,19
151,12,20
152,12,40
153,12,23
154,13,14
155,13,16
156,13,18
157,13,19
158,13,20
159,13,48
160,13,15
161,13,40
162,14,15
163,14,16
164,14,17
165,14,18
166,14,19
167,14,20
168,14,21
169,14,22
170,14,31
171,15,16
172,15,17
173,15,19
174,15,20
175,15,21
176,15,22
177,15,23
178,15,46
179,15,28
180,16,17
181,16,18
182,16,19
183,16,21
184,16,22
185,16,23
186,16,24
187,16,28
188,17,18
189,17,19
190,17,20
191,17,21
192,17,22
193,17,23
194,17,24
195,17,25
196,17,34
197,17,28
198,18,19
199,18,20
200,18,21
201,18,22
202,18,23
203,18,24
204,18,25
205,18,26
206,18,35
207,19,20
208,19,21
209,19,22
210,19,23
211,19,24
212,19,25
213,19,26
214,19,27
215,20,21
216,20,22
217,20,23
218,20,24
219,20,25
220,20,26
221,20,27
222,20,28
223,20,46
224,20,39
225,21,22
226,21,23
227,21,24
228,21,27
229,21,28
230,21,29
231,21,41
232,22,23
233,22,24
234,22,25
235,22,26
236,22,27
237,22,28
238,22,29
239,22,30
240,22,45
241,23,24
242,23,25
243,23,26
244,23,27
245,23,28
246,23,29
247,23,30
248,24,25
249,24,26
250,24,27
251,24,29
252,24,30
253,24,31
254,24,32
255,24,33
256,24,43
257,25,27
258,25,29
259,25,30
260,25,31
261,25,32
262,25,33
263,25,26
264,25,40
265,26,28
266,26,29
267,26,30
268,26,31
269,26,32
270,26,33
271,26,34
272,27,28
273,27,29
274,27,30
275,27,31
276,27,32
277,27,33
278,27,34
279,27,35
280,27,45
281,28,29
282,28,30
283,28,32
284,28,34
285,28,36
286,28,37
287,29,31
288,29,32
289,29,33
290,29,34
291,29,35
292,29,36
293,29,37
294,29,45
295,30,31
296,30,33
297,30,34
298,30,35
299,30,36
300,30,37
301,30,38
302,30,39
303,31,32
304,31,33
305,31,34
306,31,35
307,31,36
308,31,37
309,32,33
310,32,34
311,32,36
312,32,38
313,32,39
314,32,40
315,32,41
316,33,34
317,33,36
318,33,37
319,33,38
320,33,40
321,33,41
322,33,44
323,34,35
324,34,37
325,34,38
326,34,39
327,34,40
328,34,41
329,34,42
330,34,36
331,35,36
332,35,38
333,35,40
334,35,41
335,35,42
336,35,43
337,36,37
338,36,38
339,36,39
340,36,40
341,36,42
342,36,43
343,36,44
344,37,38
345,37,39
346,37,40
347,37,41
348,37,42
349,37,43
350,37,44
351,37,45
352,38,39
353,38,40
354,38,41
355,38,42
356,38,43
357,38,45
358,38,46
359,39,40
360,39,41
361,39,42
362,39,43
363,39,44
364,39,46
365,39,47
366,40,41
367,40,42
368,40,43
369,40,44
370,40,46
371,40,48
372,41,42
373,41,43
374,41,44
375,41,45
376,41,46
377,41,47
378,41,48
379,41,49
380,42,44
381,42,45
382,42,46
383,42,47
384,42,48
385,42,49
386,43,44
387,43,45
388,43,46
389,43,47
390,43,48
391,44,45
392,44,46
393,44,47
394,44,49
395,45,46
396,45,47
397,46,49
398,47,48
399,47,49
