id,node1,node2
0,0,1
1,0,49
2,0,2
3,0,48
4,0,3
5,0,47
6,0,4
7,0,46
8,0,5
9,0,45
10,0,6
11,0,44
12,0,7
13,0,43
14,0,8
15,0,13
16,1,2
17,1,3
18,1,49
19,1,48
20,1,5
21,1,47
22,1,6
23,1,46
24,1,7
25,1,45
26,1,8
27,1,44
28,1,9
29,1,43
30,1,32
31,1,11
32,2,3
33,2,4
34,2,5
35,2,49
36,2,6
37,2,48
38,2,7
39,2,47
40,2,8
41,2,46
42,2,9
43,2,45
44,2,10
45,2,44
46,2,20
47,2,25
48,3,4
49,3,5
50,3,6
51,3,7
52,3,49
53,3,8
54,3,48
55,3,9
56,3,47
57,3,10
58,3,46
59,3,11
60,3,45
61,3,42
62,4,5
63,4,6
64,4,7
65,4,8
66,4,9
67,4,49
68,4,10
69,4,48
70,4,11
71,4,47
72,4,12
73,4,46
74,5,6
75,5,7
76,5,8
77,5,9
78,5,10
79,5,11
80,5,49
81,5,12
82,5,48
83,5,13
84,5,47
85,6,7
86,6,8
87,6,9
88,6,10
89,6,11
90,6,12
91,6,13
92,6,49
93,6,14
94,6,48
95,7,8
96,7,9
97,7,10
98,7,11
99,7,12
100,7,14
101,7,15
102,7,49
103,7,41
104,7,17
105,8,9
106,8,10
107,8,11
108,8,12
109,8,13
110,8,14
111,8,15
112,8,16
113,8,37
114,9,10
115,9,11
116,9,12
117,9,13
118,9,14
119,9,15
120,9,16
121,9,17
122,9,19
123,10,11
124,10,12
125,10,13
126,10,14
127,10,16
128,10,17
129,10,18
130,10,21
131,11,12
132,11,13
133,11,14
134,11,16
135,11,17
136,11,18
137,11,19
138,11,31
139,12,13
140,12,14
141,12,15
142,12,16
143,12,17
144,12,18
145,12,19
146,12,20
147,12,38
148,13,14
149,13,15
150,13,16
151,13,17
152,13,18
153,13,19
154,13,21
155,14,15
156,14,16
157,14,17
158,14,18
159,14,19
160,14,20
161,14,21
162,14,22
163,15,16
164,15,17
165,15,18
166,15,19
167,15,20
168,15,22
169,15,23
170,15,44
171,15,27
172,16,17
173,16,18
174,16,19
175,16,20
176,16,21
177,16,22
178,16,23
179,16,24
180,16,43
181,17,18
182,17,20
183,17,21
184,17,22
185,17,23
186,17,24
187,17,25
188,17,49
189,18,19
190,18,20
191,18,21
192,18,22
193,18,23
194,18,24
195,18,25
196,18,26
197,19,20
198,19,21
199,19,23
200,19,24
201,19,25
202,19,26
203,19,49
204,20,21
205,20,22
206,20,23
207,20,24
208,20,25
209,20,27
210,20,28
211,21,22
212,21,23
213,21,24
214,21,25
215,21,26
216,21,27
217,21,28
218,21,29
219,22,23
220,22,24
221,22,25
222,22,26
223,22,27
224,22,28
225,22,29
226,22,30
227,23,24
228,23,25
229,23,26
230,23,27
231,23,28
232,23,29
233,23,30
234,23,31
235,23,33
236,24,25
237,24,26
238,24,28
239,24,29
240,24,30
241,24,31
242,24,32
243,24,33
244,25,26
245,25,27
246,25,29
247,25,30
248,25,31
249,25,32
250,25,45
251,26,27
252,26,28
253,26,29
254,26,30
255,26,31
256,26,32
257,26,34
258,26,42
259,27,28
260,27,29
261,27,30
262,27,31
263,27,32
264,27,33
265,27,34
266,28,29
267,28,30
268,28,31
269,28,32
270,28,33
271,28,34
272,28,35
273,28,36
274,29,30
275,29,31
276,29,32
277,29,33
278,29,34
279,29,35
280,29,36
281,29,37
282,29,39
283,30,31
284,30,32
285,30,33
286,30,34
287,30,36
288,30,37
289,30,38
290,30,43
291,31,32
292,31,33
293,31,34
294,31,35
295,31,36
296,31,37
297,31,38
298,31,39
299,32,33
300,32,35
301,32,36
302,32,37
303,32,38
304,32,39
305,32,40
306,32,34
307,33,34
308,33,35
309,33,36
310,33,37
311,33,38
312,33,39
313,33,40
314,34,35
315,34,36
316,34,37
317,34,38
318,34,39
319,34,40
320,34,42
321,35,36
322,35,37
323,35,38
324,35,39
325,35,40
326,35,41
327,35,42
328,35,43
329,36,37
330,36,38
331,36,39
332,36,40
333,36,41
334,36,42
335,36,43
336,36,44
337,37,38
338,37,40
339,37,41
340,37,42
341,37,43
342,37,44
343,37,45
344,38,39
345,38,40
346,38,41
347,38,42
348,38,43
349,38,44
350,38,46
351,39,40
352,39,41
353,39,42
354,39,44
355,39,45
356,39,46
357,39,47
358,40,41
359,40,42
360,40,43
361,40,44
362,40,45
363,40,46
364,40,47
365,40,48
366,41,43
367,41,44
368,41,45
369,41,46
370,41,47
371,41,48
372,41,49
373,42,43
374,42,44
375,42,45
376,42,46
377,42,47
378,42,48
379,42,49
380,43,44
381,43,45
382,43,46
383,43,47
384,43,49
385,44,45
386,44,46
387,44,47
388,44,48
389,44,49
390,45,46
391,45,47
392,45,48
393,45,49
394,46,47
395,46,48
396,46,49
397,47,48
398,47,49
399,48,49
