node,labels
45,20.242
1,20.184
35,18.792
31,18.586
90,15.846
0,15.514
5,15.232
40,14.996
19,13.074
46,12.366
29,12.35
48,11.814
21,10.964
37,10.742
86,10.254
17,10.16
60,9.998
23,9.842
94,9.74
64,9.586
8,9.116
42,8.902
80,8.884
22,8.84
11,8.728
12,8.688
66,8.646
92,8.558
30,8.392
24,8.348
7,8.118
93,8.008
84,7.94
55,7.926
2,7.712
89,7.368
53,7.286
44,6.918
36,6.758
49,6.612
51,6.446
97,6.256
18,6.12
95,5.556
26,5.536
61,5.526
25,5.462
16,5.334
57,5.102
76,4.898
88,4.838
75,4.774
77,4.704
70,4.518
4,4.488
74,4.484
52,4.468
50,4.3
59,4.22
47,4.172
38,3.932
63,3.89
71,3.888
99,3.874
98,3.606
43,3.36
67,3.238
69,2.644
83,2.616
54,2.612
85,2.602
27,2.582
73,2.55
68,2.446
34,2.44
56,2.424
9,1.834
20,1.812
81,1.802
14,1.8
96,1.796
62,1.796
13,1.79
28,1.79
39,1.782
32,1.78
6,1.778
