node,labels
3,14.406
5,13.462
2,12.962
1,12.322
4,11.866
8,11.122
6,11.016
15,10.784
55,10.722
0,10.566
17,10.396
10,10.078
7,10.022
35,9.844
9,9.632
16,9.49
13,9.4
33,9.37
20,9.128
71,8.842
11,8.826
34,8.618
18,8.46
36,8.448
12,8.302
14,8.224
63,8.214
73,8.122
50,8.092
99,7.966
24,7.966
19,7.956
53,7.936
49,7.744
23,7.562
30,7.39
21,7.352
22,7.332
40,7.164
37,7.114
98,7.07
41,7.008
25,6.944
51,6.83
43,6.646
54,6.584
52,6.572
92,6.54
47,6.538
57,6.516
83,6.496
42,6.462
26,6.458
48,6.37
38,6.276
44,6.272
56,6.212
32,6.196
75,5.968
96,5.94
65,5.878
29,5.808
28,5.804
31,5.724
39,5.714
61,5.444
62,5.408
97,5.392
58,5.362
66,5.356
69,5.354
79,5.204
84,5.182
45,5.164
95,4.966
90,4.958
77,4.924
59,4.918
64,4.838
70,4.798
60,4.766
85,4.742
46,4.738
78,4.542
68,4.518
72,4.492
82,4.472
27,4.448
67,4.35
91,4.306
89,4.29
80,4.228
94,4.144
74,4.132
76,4.118
93,4.078
87,3.922
81,3.892
88,3.87
86,3.578
