id,node1,node2
0,0,1
1,0,49
2,0,2
3,0,48
4,0,3
5,0,47
6,0,4
7,0,46
8,0,5
9,0,45
10,0,6
11,0,44
12,0,27
13,1,2
14,1,3
15,1,49
16,1,4
17,1,48
18,1,5
19,1,47
20,1,6
21,1,46
22,1,7
23,1,45
24,1,11
25,2,3
26,2,4
27,2,5
28,2,49
29,2,6
30,2,48
31,2,7
32,2,47
33,2,8
34,2,46
35,3,4
36,3,5
37,3,6
38,3,7
39,3,49
40,3,8
41,3,9
42,3,47
43,3,20
44,3,35
45,4,5
46,4,6
47,4,7
48,4,8
49,4,9
50,4,49
51,4,10
52,4,48
53,4,18
54,5,7
55,5,8
56,5,9
57,5,11
58,5,49
59,5,38
60,5,39
61,5,26
62,6,8
63,6,9
64,6,10
65,6,11
66,6,12
67,6,44
68,7,8
69,7,9
70,7,10
71,7,12
72,7,13
73,7,25
74,8,9
75,8,10
76,8,11
77,8,12
78,8,13
79,8,14
80,8,30
81,9,10
82,9,11
83,9,12
84,9,13
85,9,14
86,9,15
87,9,34
88,9,48
89,10,11
90,10,12
91,10,13
92,10,14
93,10,15
94,10,16
95,11,12
96,11,13
97,11,14
98,11,16
99,11,17
100,11,34
101,11,29
102,12,13
103,12,14
104,12,15
105,12,16
106,12,17
107,12,18
108,13,14
109,13,15
110,13,16
111,13,17
112,13,19
113,13,34
114,14,15
115,14,16
116,14,17
117,14,18
118,14,19
119,14,20
120,15,16
121,15,17
122,15,18
123,15,19
124,15,20
125,15,21
126,16,17
127,16,18
128,16,19
129,16,20
130,16,21
131,16,22
132,17,18
133,17,19
134,17,20
135,17,21
136,17,22
137,17,23
138,18,19
139,18,21
140,18,22
141,18,23
142,18,24
143,19,20
144,19,21
145,19,22
146,19,23
147,19,24
148,19,25
149,20,22
150,20,23
151,20,24
152,20,25
153,20,26
154,21,22
155,21,23
156,21,24
157,21,25
158,21,26
159,21,27
160,21,43
161,22,23
162,22,24
163,22,26
164,22,28
165,22,33
166,22,25
167,23,24
168,23,25
169,23,26
170,23,27
171,23,28
172,23,30
173,24,25
174,24,26
175,24,27
176,24,28
177,24,29
178,24,30
179,25,27
180,25,28
181,25,29
182,25,30
183,25,31
184,25,42
185,25,45
186,26,27
187,26,28
188,26,29
189,26,30
190,26,31
191,26,32
192,26,41
193,27,28
194,27,30
195,27,31
196,27,32
197,27,33
198,28,29
199,28,30
200,28,31
201,28,32
202,28,33
203,28,34
204,29,30
205,29,31
206,29,32
207,29,33
208,29,42
209,30,31
210,30,33
211,30,34
212,30,35
213,30,36
214,31,32
215,31,33
216,31,34
217,31,35
218,31,36
219,31,37
220,32,33
221,32,34
222,32,35
223,32,36
224,32,37
225,32,38
226,33,34
227,33,35
228,33,36
229,33,37
230,33,38
231,33,39
232,34,35
233,34,36
234,34,39
235,34,40
236,35,36
237,35,37
238,35,39
239,35,40
240,35,41
241,36,37
242,36,38
243,36,39
244,36,40
245,36,41
246,36,42
247,37,38
248,37,39
249,37,40
250,37,41
251,37,42
252,37,43
253,38,39
254,38,40
255,38,41
256,38,42
257,38,43
258,38,44
259,39,40
260,39,42
261,39,43
262,39,44
263,39,45
264,40,41
265,40,42
266,40,43
267,40,44
268,40,45
269,40,46
270,41,42
271,41,43
272,41,44
273,41,45
274,41,46
275,42,43
276,42,44
277,42,45
278,42,46
279,42,47
280,42,48
281,43,45
282,43,46
283,43,47
284,43,48
285,43,49
286,44,45
287,44,46
288,44,47
289,44,48
290,44,49
291,45,46
292,45,48
293,45,49
294,46,47
295,46,48
296,46,49
297,47,48
298,47,49
299,48,49
