node,labels
1,9.974
0,9.354
66,8.474
55,8.41
19,8.048
76,7.644
57,7.554
34,7.308
6,7.074
75,7.004
73,6.61
17,6.542
99,6.536
89,6.52
50,6.29
64,6.278
14,6.222
69,6.1
58,6.07
49,5.996
44,5.96
20,5.904
70,5.772
21,5.7
96,5.662
43,5.598
92,5.584
3,5.576
2,5.55
25,5.49
62,5.48
60,5.438
84,5.432
78,5.43
71,5.394
54,5.272
9,5.266
29,5.23
80,5.156
15,5.124
82,5.098
26,5.09
68,5.082
39,5.08
98,5.08
67,5.016
53,4.972
77,4.964
32,4.914
47,4.852
65,4.822
45,4.786
61,4.672
72,4.53
86,4.508
16,4.474
42,4.466
41,4.316
31,4.27
35,4.216
38,4.216
33,4.066
37,4.046
97,3.946
30,3.93
52,3.896
87,3.874
79,3.83
88,3.766
12,3.758
7,3.732
11,3.694
28,3.548
56,3.542
59,3.52
5,3.464
63,3.448
22,3.444
8,3.434
24,3.41
83,3.188
94,3.178
46,2.992
90,2.958
93,2.946
95,2.834
13,2.83
27,2.754
36,2.648
18,2.532
40,2.508
85,2.46
48,2.352
23,2.182
4,2.146
81,1.988
91,1.946
74,1.71
51,1.67
10,1.222
