node,labels
0,32.0
1,32.0
99,32.0
2,29.0
18,29.0
3,26.0
20,26.0
21,26.0
4,25.0
8,25.0
22,25.0
23,24.0
24,23.0
25,22.0
26,21.0
5,20.0
45,20.0
27,20.0
93,20.0
28,17.0
46,17.0
47,17.0
6,16.0
29,16.0
48,16.0
63,15.0
30,15.0
49,15.0
31,14.0
50,14.0
76,14.0
62,14.0
64,14.0
32,13.0
33,12.0
65,12.0
77,12.0
78,12.0
34,11.0
51,11.0
66,11.0
79,11.0
35,10.0
52,10.0
67,10.0
80,10.0
9,9.0
10,9.0
36,9.0
53,9.0
68,9.0
81,9.0
11,8.0
37,8.0
54,8.0
69,8.0
82,8.0
12,7.0
38,7.0
55,7.0
70,7.0
83,7.0
13,6.0
39,6.0
56,6.0
71,6.0
84,6.0
14,5.0
19,5.0
61,5.0
40,5.0
42,5.0
57,5.0
60,5.0
72,5.0
85,5.0
94,5.0
95,5.0
7,4.0
89,4.0
15,4.0
44,4.0
41,4.0
58,4.0
73,4.0
86,4.0
96,4.0
17,3.0
43,3.0
59,3.0
74,3.0
75,3.0
87,3.0
88,3.0
90,3.0
91,3.0
92,3.0
97,3.0
98,3.0
16,2.0
