node,labels
4,9.47
7,9.406
8,9.286
9,9.034
5,8.692
1,8.228
2,7.94
6,7.774
0,7.544
11,7.342
13,7.146
12,7.066
24,7.066
15,6.974
3,6.914
16,6.908
23,6.906
14,6.836
20,6.81
21,6.792
19,6.786
10,6.768
28,6.734
50,6.66
72,6.616
26,6.598
98,6.532
99,6.514
17,6.446
33,6.444
47,6.43
52,6.39
27,6.298
37,6.27
18,6.206
41,6.17
38,6.098
29,5.974
31,5.96
39,5.944
69,5.864
22,5.822
25,5.74
40,5.722
30,5.702
96,5.628
34,5.508
43,5.506
49,5.486
61,5.45
70,5.45
36,5.44
97,5.42
42,5.404
81,5.298
91,5.294
32,5.122
48,5.114
53,5.106
62,5.066
35,5.054
44,4.974
59,4.94
73,4.9
88,4.882
51,4.838
74,4.826
71,4.788
75,4.772
68,4.76
58,4.712
55,4.698
95,4.684
56,4.586
92,4.502
84,4.486
60,4.336
82,4.31
87,4.308
45,4.306
79,4.29
83,4.272
85,4.226
46,4.214
78,4.094
64,4.09
65,4.042
93,4.026
76,4.012
57,3.854
67,3.844
54,3.832
94,3.832
77,3.8
80,3.8
89,3.508
66,3.42
63,3.386
86,3.048
90,2.808
