node,labels
3,7.926
7,7.902
4,7.744
99,7.618
0,7.612
1,7.33
5,7.2
2,7.114
29,6.916
16,6.894
8,6.766
97,6.74
20,6.728
11,6.716
19,6.59
26,6.506
40,6.442
22,6.402
31,6.362
25,6.244
6,6.24
49,6.206
37,6.146
18,6.096
98,6.086
21,6.084
36,6.03
95,5.958
47,5.956
35,5.944
24,5.94
13,5.918
38,5.9
50,5.854
71,5.834
14,5.81
60,5.656
43,5.654
27,5.622
45,5.6
28,5.56
10,5.554
96,5.476
41,5.476
34,5.43
51,5.43
30,5.426
57,5.404
9,5.364
42,5.354
12,5.336
59,5.25
64,5.168
33,5.124
62,5.112
15,5.084
39,5.062
61,5.008
84,4.978
79,4.896
53,4.88
46,4.83
69,4.818
81,4.806
48,4.802
68,4.796
23,4.778
67,4.726
44,4.718
63,4.676
52,4.662
17,4.63
72,4.596
86,4.594
66,4.564
58,4.548
56,4.542
78,4.496
82,4.472
94,4.44
80,4.386
93,4.374
73,4.246
54,4.222
70,4.098
83,4.074
55,4.072
91,4.06
92,4.002
65,3.968
88,3.93
74,3.874
32,3.854
75,3.754
77,3.688
76,3.598
90,3.5
89,3.334
85,3.258
87,3.216
