node,labels
18,8.492
29,7.788
7,7.57
3,7.388
66,7.334
2,7.29
1,6.864
87,6.324
83,6.262
64,6.192
65,6.046
86,6.008
19,5.966
0,5.904
95,5.836
11,5.796
54,5.774
76,5.676
16,5.606
10,5.54
14,5.528
72,5.472
23,5.45
38,5.446
43,5.43
15,5.39
67,5.336
63,5.312
5,5.286
9,5.278
49,5.228
62,5.226
75,5.17
4,5.156
58,5.144
90,5.128
88,5.094
96,5.074
20,4.932
30,4.902
92,4.884
46,4.876
41,4.86
48,4.834
33,4.814
60,4.804
69,4.794
94,4.736
42,4.678
98,4.664
91,4.662
37,4.642
47,4.53
22,4.508
73,4.508
57,4.398
81,4.394
59,4.382
53,4.364
97,4.34
85,4.304
21,4.272
78,4.19
51,4.18
6,4.102
44,4.076
70,3.996
27,3.916
8,3.904
45,3.894
28,3.872
89,3.87
36,3.8
52,3.728
26,3.698
77,3.63
32,3.592
56,3.582
71,3.572
99,3.498
50,3.444
34,3.398
40,3.39
17,3.386
82,3.374
55,3.362
79,3.326
13,3.268
12,3.038
93,2.624
24,2.586
25,2.44
61,2.39
31,2.38
39,2.316
35,2.286
80,2.238
84,2.232
68,1.232
74,1.208
