node,labels
1,7.94
0,7.686
2,7.622
18,7.432
56,7.418
41,7.346
3,6.956
65,6.828
54,6.762
12,6.694
21,6.448
4,6.404
53,5.948
95,5.792
87,5.76
61,5.744
35,5.684
7,5.654
70,5.634
73,5.618
32,5.606
26,5.558
74,5.52
46,5.494
11,5.464
96,5.448
76,5.262
25,5.244
49,5.074
43,5.052
97,4.894
33,4.884
68,4.868
84,4.852
83,4.842
55,4.814
5,4.762
42,4.76
91,4.722
29,4.686
37,4.676
6,4.626
88,4.614
52,4.614
63,4.432
48,4.39
67,4.372
27,4.36
72,4.338
99,4.32
62,4.298
58,4.282
44,4.264
78,4.24
22,4.232
60,4.206
45,4.182
15,4.156
81,4.156
51,4.138
77,4.114
17,4.11
34,4.062
71,4.058
82,3.982
59,3.974
10,3.968
8,3.96
92,3.912
30,3.89
98,3.852
50,3.8
57,3.788
13,3.778
14,3.766
23,3.752
79,3.65
85,3.638
94,3.59
24,3.582
16,3.578
38,3.552
89,3.488
47,3.458
19,3.426
86,3.382
69,3.302
90,3.244
75,3.202
20,3.176
28,3.146
39,3.054
80,2.966
93,2.858
36,2.846
9,2.488
31,2.132
40,2.11
64,2.004
66,1.462
