node,labels
0,9.016
69,8.498
81,7.278
3,7.264
94,7.098
40,7.098
1,6.958
4,6.828
91,6.818
36,6.812
10,6.782
17,6.73
83,6.582
32,6.566
68,6.528
5,6.5
38,6.466
95,6.408
96,6.314
25,6.29
57,6.102
9,6.098
20,6.086
92,6.046
43,5.96
27,5.694
37,5.658
93,5.624
34,5.608
62,5.588
50,5.51
21,5.472
71,5.42
41,5.404
70,5.288
77,5.228
82,5.2
90,5.164
98,5.124
44,5.046
51,5.042
76,5.036
31,4.986
23,4.96
6,4.958
48,4.948
49,4.888
59,4.842
75,4.842
14,4.828
8,4.802
52,4.658
46,4.616
73,4.604
28,4.596
2,4.564
86,4.526
53,4.444
61,4.394
65,4.312
19,4.172
56,4.148
22,4.082
29,4.062
16,3.948
97,3.922
35,3.904
15,3.902
42,3.806
80,3.732
24,3.678
89,3.568
30,3.56
79,3.552
60,3.52
45,3.464
67,3.414
18,3.352
78,3.35
26,3.344
47,3.276
85,3.244
99,3.242
87,3.23
66,3.146
54,3.13
39,3.112
11,2.932
72,2.8
12,2.772
88,2.702
55,2.582
13,2.548
64,2.368
74,2.322
33,2.232
84,2.126
58,2.016
63,1.774
7,1.61
