node,labels
55,8.726
53,8.018
7,7.384
50,7.226
5,7.16
3,7.058
24,6.934
52,6.866
6,6.84
43,6.732
85,6.608
56,6.55
64,6.536
41,6.366
2,6.274
48,6.246
0,6.234
36,6.212
72,5.996
9,5.85
35,5.82
69,5.792
80,5.76
8,5.76
47,5.718
19,5.69
25,5.688
99,5.682
34,5.664
66,5.606
81,5.594
4,5.552
88,5.418
23,5.394
71,5.308
70,5.298
60,5.282
45,5.174
84,5.162
67,5.11
18,5.028
78,5.02
98,4.936
26,4.868
13,4.864
91,4.852
22,4.798
11,4.798
90,4.792
97,4.768
21,4.746
33,4.658
63,4.632
89,4.564
73,4.564
93,4.526
79,4.522
42,4.506
57,4.456
86,4.456
1,4.396
61,4.32
51,4.252
62,4.22
75,4.212
59,4.192
44,4.178
83,4.172
58,4.144
87,3.966
76,3.882
10,3.718
15,3.694
37,3.682
82,3.662
95,3.654
31,3.56
40,3.518
27,3.492
38,3.462
54,3.442
12,3.3
14,3.282
77,3.142
39,3.13
65,3.102
29,2.936
68,2.934
46,2.894
17,2.816
16,2.794
20,2.73
30,2.62
49,2.558
94,2.044
96,2.042
92,1.896
28,1.556
32,1.46
74,1.378
