node,labels
5,8.39
73,7.33
97,7.13
1,6.782
10,6.684
72,6.66
30,6.582
16,6.276
75,6.18
9,6.132
38,6.112
44,5.978
58,5.976
19,5.82
68,5.812
90,5.81
87,5.794
43,5.678
61,5.672
79,5.652
78,5.648
6,5.64
0,5.55
11,5.504
59,5.454
3,5.446
82,5.41
34,5.366
8,5.25
18,5.248
49,5.138
71,5.134
64,5.128
29,5.128
77,5.104
60,5.078
84,5.022
21,4.99
14,4.986
45,4.868
93,4.848
37,4.768
32,4.764
62,4.678
41,4.658
36,4.636
46,4.602
23,4.49
96,4.466
88,4.408
7,4.406
33,4.398
22,4.356
74,4.328
85,4.32
92,4.27
55,4.238
26,4.228
31,4.062
57,4.056
63,4.056
51,3.98
2,3.94
39,3.878
76,3.876
13,3.828
15,3.77
48,3.77
4,3.76
83,3.76
27,3.734
69,3.716
47,3.702
98,3.688
81,3.606
25,3.602
12,3.572
56,3.558
24,3.554
99,3.546
50,3.546
35,3.522
54,3.516
95,3.466
91,3.422
20,3.41
80,3.4
65,3.324
67,3.278
86,3.246
89,3.242
70,3.008
40,2.922
52,2.888
42,2.844
53,2.834
28,2.676
17,2.336
94,2.228
66,1.744
