node,labels
12,26.0
13,26.0
14,25.0
15,24.0
16,23.0
17,22.0
18,21.0
19,20.0
20,19.0
21,18.0
36,18.0
0,16.0
99,16.0
77,16.0
1,15.0
2,15.0
22,15.0
47,14.0
23,14.0
46,14.0
24,13.0
48,13.0
56,13.0
57,13.0
76,13.0
25,12.0
58,12.0
78,12.0
26,11.0
49,11.0
59,11.0
27,10.0
37,10.0
38,10.0
50,10.0
60,10.0
79,10.0
89,10.0
90,10.0
3,9.0
4,9.0
28,9.0
39,9.0
51,9.0
55,9.0
61,9.0
80,9.0
91,9.0
5,8.0
29,8.0
40,8.0
62,8.0
81,8.0
92,8.0
6,7.0
30,7.0
41,7.0
63,7.0
68,7.0
69,7.0
82,7.0
93,7.0
7,6.0
31,6.0
42,6.0
52,6.0
53,6.0
74,6.0
64,6.0
70,6.0
88,6.0
83,6.0
94,6.0
8,5.0
33,5.0
43,5.0
65,5.0
84,5.0
95,5.0
9,4.0
11,4.0
32,4.0
34,4.0
35,4.0
44,4.0
66,4.0
73,4.0
85,4.0
96,4.0
98,4.0
10,3.0
67,3.0
45,3.0
71,3.0
72,3.0
86,3.0
87,3.0
97,3.0
54,2.0
75,2.0
