node,labels
25,12.092
51,11.91
47,11.352
0,11.248
54,9.656
11,9.032
69,8.982
1,8.772
2,8.732
20,8.722
8,8.308
45,8.21
29,7.882
18,7.866
67,7.762
16,7.614
32,7.346
61,7.178
75,7.11
97,7.0
10,6.884
57,6.828
77,6.77
53,6.502
62,6.38
98,6.358
42,6.332
81,6.25
88,6.16
70,6.12
58,6.082
31,5.974
76,5.914
71,5.736
13,5.662
44,5.646
27,5.462
64,5.45
72,5.338
93,5.322
15,5.226
65,5.076
80,5.0
37,4.958
92,4.91
33,4.886
90,4.846
7,4.79
35,4.712
55,4.598
14,4.578
86,4.468
3,4.372
96,4.336
49,4.224
30,4.214
94,4.2
50,4.172
9,4.152
52,4.14
73,4.118
59,4.104
43,4.004
60,3.974
4,3.958
24,3.948
21,3.948
99,3.882
74,3.838
17,3.832
12,3.782
23,3.692
84,3.56
38,3.506
66,3.45
91,3.368
68,3.346
28,3.25
19,3.152
5,2.996
36,2.988
22,2.984
40,2.98
48,2.928
26,2.824
41,2.796
85,2.796
56,2.76
89,2.58
87,2.486
83,2.424
34,2.318
6,2.264
46,2.24
63,2.232
95,2.142
79,2.13
82,1.936
39,1.808
78,1.366
