node,labels
11,11.06
13,10.424
7,9.984
10,9.922
9,9.804
34,9.798
25,9.502
2,9.492
12,9.376
16,9.292
1,9.284
15,9.21
3,9.172
6,8.95
5,8.86
18,8.86
8,8.85
17,8.746
26,8.682
23,8.62
28,8.53
27,8.524
20,8.414
33,8.388
45,8.362
24,8.348
21,8.332
52,8.226
4,8.2
22,8.002
19,7.966
32,7.94
53,7.886
14,7.824
42,7.81
43,7.796
50,7.762
0,7.71
47,7.638
49,7.636
51,7.636
99,7.594
41,7.572
44,7.524
48,7.492
38,7.49
35,7.392
40,7.34
39,7.298
29,7.262
54,7.05
37,7.016
80,6.856
90,6.804
55,6.596
98,6.41
46,6.4
81,6.362
89,6.362
31,6.306
70,6.284
36,6.194
68,6.178
30,6.098
93,5.922
56,5.816
59,5.716
57,5.578
71,5.482
88,5.448
75,5.422
72,5.366
69,5.294
82,5.222
79,5.174
67,5.102
83,5.076
58,5.01
92,4.964
77,4.766
73,4.762
91,4.696
60,4.69
86,4.53
62,4.51
61,4.224
84,4.176
85,4.168
87,4.092
76,4.036
63,3.994
95,3.898
97,3.796
66,3.756
65,3.612
94,3.602
78,3.448
64,3.442
96,3.27
74,3.246
