node,labels
0,8.944
4,8.52
23,8.078
3,7.964
7,7.928
1,7.9
6,7.822
5,7.746
99,7.346
8,7.026
2,7.02
10,6.966
9,6.782
20,6.782
98,6.698
13,6.548
39,6.518
12,6.426
97,6.268
22,6.23
21,6.148
15,6.08
96,6.07
14,5.986
19,5.968
35,5.956
41,5.95
16,5.946
25,5.922
11,5.79
29,5.694
42,5.618
55,5.584
40,5.546
31,5.474
67,5.332
43,5.252
18,5.234
61,5.23
44,5.196
65,5.076
83,5.056
64,5.044
27,5.016
38,5.004
37,4.964
77,4.95
80,4.848
45,4.828
48,4.776
36,4.76
47,4.738
82,4.722
84,4.722
68,4.712
66,4.702
26,4.68
32,4.652
95,4.618
34,4.598
46,4.59
24,4.558
62,4.534
70,4.53
17,4.496
58,4.496
49,4.48
28,4.478
81,4.466
50,4.39
85,4.386
52,4.348
30,4.34
60,4.336
51,4.296
69,4.268
92,4.264
63,4.236
94,4.23
72,4.218
56,4.186
53,4.164
78,4.138
73,4.132
87,4.122
71,4.088
74,4.084
59,4.074
76,4.044
86,4.022
57,4.006
88,3.962
79,3.884
54,3.826
93,3.742
90,3.714
91,3.706
33,3.55
89,3.37
75,3.136
