id,node1,node2
0,0,6
1,0,9
2,0,13
3,0,17
4,0,18
5,0,23
6,0,26
7,0,31
8,0,32
9,0,38
10,0,40
11,0,43
12,1,6
13,1,15
14,1,38
15,1,46
16,1,49
17,2,7
18,2,12
19,2,14
20,2,19
21,2,30
22,2,31
23,2,32
24,2,40
25,2,47
26,2,49
27,3,7
28,3,21
29,3,26
30,3,27
31,3,37
32,3,40
33,4,7
34,4,13
35,4,19
36,4,26
37,5,23
38,5,27
39,5,32
40,5,37
41,5,40
42,5,45
43,5,49
44,6,9
45,6,15
46,6,32
47,6,35
48,6,40
49,7,8
50,7,9
51,7,12
52,7,16
53,7,26
54,7,27
55,7,28
56,7,30
57,7,35
58,7,36
59,7,45
60,8,9
61,8,10
62,8,13
63,8,17
64,8,29
65,8,46
66,9,14
67,9,29
68,9,32
69,9,39
70,9,45
71,10,11
72,10,28
73,10,29
74,10,31
75,10,32
76,10,33
77,10,41
78,10,42
79,10,44
80,10,45
81,10,48
82,11,15
83,11,39
84,11,40
85,11,45
86,12,14
87,12,21
88,12,32
89,12,34
90,12,44
91,12,46
92,13,15
93,13,21
94,13,22
95,13,28
96,13,36
97,13,45
98,14,17
99,14,19
100,14,29
101,14,31
102,14,40
103,14,49
104,15,20
105,15,32
106,15,40
107,15,41
108,15,46
109,16,26
110,16,31
111,16,39
112,16,45
113,17,25
114,17,36
115,17,37
116,17,39
117,18,20
118,18,25
119,18,29
120,18,34
121,18,36
122,18,47
123,19,20
124,19,24
125,19,25
126,19,28
127,19,29
128,19,32
129,19,40
130,20,22
131,20,30
132,20,34
133,20,37
134,20,47
135,21,37
136,21,39
137,21,41
138,22,25
139,22,40
140,22,44
141,23,24
142,23,26
143,23,28
144,23,35
145,23,38
146,23,39
147,23,42
148,24,26
149,24,31
150,24,35
151,24,43
152,24,46
153,24,48
154,25,34
155,25,36
156,25,40
157,25,41
158,26,31
159,26,43
160,26,44
161,27,43
162,27,46
163,27,49
164,28,35
165,28,37
166,28,38
167,28,45
168,29,47
169,30,33
170,30,37
171,30,39
172,30,47
173,31,46
174,32,41
175,32,49
176,33,40
177,33,43
178,33,46
179,33,47
180,33,49
181,34,41
182,35,46
183,35,47
184,35,48
185,35,49
186,36,42
187,36,44
188,37,48
189,38,40
190,38,48
191,38,49
192,39,46
193,39,49
194,40,44
195,41,45
196,41,49
197,42,45
198,42,47
199,43,44
