node,labels
1,12.144
0,12.074
2,11.778
27,11.634
7,11.534
25,11.24
38,10.386
16,10.278
71,10.018
8,9.886
36,9.876
12,9.838
26,9.764
13,9.726
14,9.632
9,9.54
46,9.452
28,9.44
3,9.346
4,9.102
15,9.102
6,9.094
11,9.088
98,9.066
99,9.032
24,8.988
40,8.97
5,8.912
10,8.856
29,8.78
23,8.374
73,8.304
18,8.044
65,7.704
31,7.652
49,7.622
72,7.552
97,7.492
39,7.452
69,7.366
56,7.338
17,7.318
30,7.306
70,7.282
35,7.128
34,7.086
37,6.936
76,6.914
33,6.852
78,6.83
74,6.814
91,6.758
75,6.718
32,6.716
77,6.646
41,6.554
79,6.476
81,6.46
57,6.308
80,6.278
19,6.224
83,6.22
66,6.128
82,6.086
63,6.032
96,5.904
55,5.726
84,5.558
68,5.54
64,5.536
59,5.452
67,5.452
60,5.434
21,5.27
54,5.248
85,5.226
48,5.216
22,5.212
20,5.136
44,5.046
58,5.046
86,4.896
61,4.836
43,4.78
53,4.758
45,4.736
62,4.634
89,4.54
87,4.516
50,4.25
90,4.13
88,4.116
42,4.028
47,3.972
92,3.814
52,3.4
95,3.354
94,3.306
51,3.214
93,2.788
