node,labels
4,7.742
2,7.696
1,7.462
16,7.342
18,7.338
3,6.81
7,6.684
12,6.578
22,6.4
99,6.348
19,6.258
8,6.24
13,6.212
27,6.19
23,6.186
56,6.182
5,6.162
0,6.15
97,6.132
28,6.114
11,6.07
25,6.04
42,6.016
31,6.004
15,5.954
96,5.952
6,5.94
32,5.896
78,5.868
21,5.794
10,5.722
29,5.72
24,5.678
17,5.674
98,5.656
14,5.618
20,5.594
77,5.574
35,5.52
37,5.516
36,5.504
92,5.49
43,5.454
33,5.42
38,5.402
55,5.384
57,5.346
61,5.302
59,5.26
94,5.198
70,5.182
30,5.17
9,5.168
93,5.164
82,5.144
95,5.078
69,5.014
40,5.004
90,4.986
34,4.966
54,4.958
65,4.958
58,4.954
26,4.952
53,4.902
73,4.894
74,4.79
66,4.734
60,4.712
80,4.712
76,4.702
81,4.698
44,4.694
41,4.644
67,4.602
39,4.542
79,4.442
52,4.426
48,4.412
51,4.402
68,4.33
88,4.302
63,4.274
45,4.252
85,4.226
64,4.168
86,4.108
91,4.08
71,4.07
49,4.036
62,3.972
50,3.948
89,3.876
46,3.83
75,3.736
87,3.704
72,3.69
83,3.678
47,3.656
84,3.348
