node,labels
51,16.49
79,15.452
89,13.742
46,13.136
39,13.126
33,13.096
3,12.974
5,12.4
20,11.974
59,11.522
53,11.36
31,11.23
11,11.19
4,10.672
91,10.614
12,10.486
99,10.226
55,10.18
15,9.962
27,9.854
44,9.644
29,9.428
8,9.276
36,9.206
73,9.202
19,8.702
43,8.528
58,8.374
28,8.364
83,7.78
45,7.174
72,6.956
7,6.922
47,6.842
68,6.788
57,6.222
60,6.096
82,5.814
74,5.576
93,5.56
13,5.516
75,5.506
9,5.226
16,4.898
87,4.662
10,4.502
2,4.46
25,4.428
90,4.4
22,4.332
32,4.33
21,4.282
84,4.23
95,4.166
66,4.126
67,4.02
18,3.892
1,3.87
94,3.868
76,3.824
34,3.688
50,3.616
26,3.33
41,3.254
97,3.244
54,3.222
52,3.176
24,2.578
92,2.548
81,2.522
61,2.496
77,2.388
86,2.334
17,2.31
78,2.302
98,2.284
63,1.79
64,1.77
65,1.77
6,1.766
70,1.76
62,1.76
42,1.758
85,1.748
