node,labels
1,9.586
0,9.444
97,8.43
38,7.566
32,7.148
11,7.018
5,6.996
12,6.81
75,6.782
57,6.75
6,6.622
74,6.524
52,6.502
99,6.404
73,6.348
54,6.346
26,6.242
46,6.23
50,6.186
66,6.172
14,6.142
65,6.054
56,5.796
82,5.784
72,5.774
80,5.764
2,5.732
10,5.702
31,5.612
47,5.54
20,5.506
95,5.504
3,5.486
29,5.436
86,5.346
58,5.324
49,5.292
28,5.262
68,5.256
89,5.198
33,5.166
87,5.148
36,5.096
16,5.046
78,4.826
9,4.824
84,4.758
22,4.738
61,4.552
43,4.5
27,4.492
37,4.466
59,4.44
18,4.356
42,4.35
15,4.3
60,4.284
53,4.23
67,4.23
69,4.216
70,4.178
7,4.172
30,4.014
40,3.932
55,3.906
88,3.836
83,3.808
21,3.716
92,3.618
24,3.532
19,3.518
45,3.518
91,3.506
85,3.506
4,3.432
25,3.43
94,3.422
23,3.414
8,3.398
44,3.292
79,3.258
51,3.24
81,3.236
39,3.222
98,3.106
76,3.094
71,2.956
41,2.95
35,2.932
13,2.678
96,2.638
17,2.622
64,2.52
62,2.514
34,2.476
63,2.372
48,2.364
77,2.36
90,2.338
93,2.158
